FGM,FGP,FGN,GCO,FGG,NOD,FSN,FNN,CGB,FIN,DGR,CGR,NSD,DPQ,DCN,DOR,DIN,CPS,NPA,BAT,FGC,GBC,IBC,CCN,DNN,FGT,DGP,TCL,TPL,TSL,TAD,TSP,TDL,HMP,AST,FFS,FSP,ADI,ADR,AER,ARR,NPP,NOC,NOO,NM1,NM2,NOA,GCN,GFN,GAL,GUN,GFS,GFR,GFO,GPR,EZ1,EZ2,EZ3,DMP,DMG,HGI,GSI,GST,GEI,NGO,NOE,AFM,ACM,DOA,ACP,NCL,APO,AGE,PDC,ACL,TDD,EM1,PGO,AGS,DPN,NTD,OKP,FVP
Hu,+,+,+,0,-,-,+,+,+,-,+,0,+,0,-,-,-,-,+,0,-,0,0,-,-,-,0,0,+,+,0,-,-,-,+,-,+,0,+,0,-,-,-,-,-,-,-,+,+,-,0,0,0,-,-,-,-,-,0,0,-,-,0,-,0,+,0,0,0,+,-,0,0,0,0,-,0,-,0,0,0,-,-
Kh,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,+,-,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,-,+,0,+,0,-,-,-,-,-,-,-,+,+,-,0,0,0,-,-,-,-,-,0,0,-,-,0,-,0,+,0,0,0,+,-,0,0,0,0,-,0,-,0,0,0,-,0
Est,+,+,+,0,-,-,+,+,-,0,-,0,0,+,0,0,-,-,0,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,-,0,-,+,0,0,0,-,-,-,-,0,0,0,-,0,0,-,+,0,0,0,+,-,-,0,0,-,?,0,0,0,0,0,0,0
Fin,+,+,+,0,-,-,+,+,-,0,-,0,0,+,0,0,-,-,0,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,+,+,0,+,0,-,-,-,-,-,-,-,+,+,-,0,0,0,+,-,-,-,-,0,0,-,-,0,-,-,+,0,0,0,+,-,0,0,0,0,?,0,0,0,0,0,0,0
Ud,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,-,-,0,-,0,0,0,0,-,+,0,+,+,0,0,-,-,+,-,+,0,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,-,0,+,0,0,0,0,-,0,0,0,0,-,0,-,0,0,0,0,0
Yu,+,+,+,0,-,-,+,+,-,0,-,0,0,-,0,0,-,+,0,0,-,0,0,0,0,-,+,0,+,+,0,0,-,-,-,0,-,0,-,-,0,0,-,-,0,0,0,+,-,+,-,+,-,0,0,+,0,0,0,0,0,-,0,0,0,+,0,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,0
Ev,+,+,+,0,-,-,+,+,-,0,-,0,0,+,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,-,0,+,0,0,0,0,-,0,0,0,0,-,0,-,0,0,0,0,0
Ek,+,+,+,0,-,-,+,+,-,0,-,0,0,+,0,0,-,+,0,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,+,+,0,-,+,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,-,0,+,0,0,0,0,+,0,0,0,0,-,0,-,0,0,0,0,0
Ya,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,0,0,-,0,-,+,0,+,+,0,0,-,-,+,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,+,0,+,0,0,0,0,-,0,0,0,0,-,0,-,0,0,0,0,0
Tur,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,-,+,-,-,0,0,-,0,-,-,0,+,+,0,0,-,-,+,-,-,0,-,-,-,-,-,-,-,-,-,+,+,+,0,0,0,0,0,-,-,-,0,0,-,-,0,-,0,+,0,0,0,0,-,0,0,0,0,+,0,-,0,0,0,0,0
Bur,+,+,+,0,-,-,+,+,+,-,-,0,0,0,0,0,-,-,-,0,-,0,0,0,0,-,-,0,+,+,0,0,-,-,+,-,-,0,-,-,-,-,-,-,-,-,-,-,0,+,+,0,0,0,0,-,-,-,0,0,0,-,0,0,-,+,0,0,0,0,+,-,0,0,-,-,0,-,0,0,0,0,0
cB,+,+,+,0,-,+,0,0,-,0,-,0,+,0,-,0,0,0,0,0,-,0,0,0,+,-,-,0,+,+,0,+,-,-,+,0,+,0,-,-,-,+,-,-,0,0,0,-,0,-,-,0,+,-,0,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,0,0,-,?,0,-,0,-,0,?,+
wB,+,+,+,0,+,+,0,0,-,0,-,0,+,0,-,0,0,0,0,0,-,0,0,0,+,-,-,0,+,+,0,+,+,-,+,0,+,0,-,-,-,+,-,-,0,0,0,-,0,-,-,0,+,-,0,-,-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,0,0,-,?,0,-,0,-,0,?,+
Wo,+,+,+,0,+,+,0,0,+,-,+,0,-,0,-,+,0,0,+,0,-,0,0,-,0,-,0,0,+,+,0,+,-,-,-,0,+,0,+,0,0,0,-,-,0,0,0,-,0,-,-,-,-,+,+,+,0,0,0,0,0,-,0,0,+,0,0,0,0,0,+,-,0,?,0,?,0,0,0,-,0,?,0
